level_reached,total_sequences,correct_sequences,wrong_attempts,avg_reaction_time,max_streak,session_duration,memory_score
8,8,6,0,880,7,247,51.61
14,14,8,4,675,12,196,45.96
3,3,2,7,1078,2,288,30.0
16,16,10,4,464,6,142,48.17
6,6,3,9,388,3,99,30.0
10,10,10,2,936,7,156,47.37
19,19,9,6,1120,9,163,36.98
21,21,16,2,497,7,126,66.67
22,22,11,3,777,8,214,57.18
6,6,3,5,740,2,288,30.0
6,6,4,1,821,6,182,35.52
12,12,6,5,1105,5,168,30.0
10,10,9,3,1143,3,214,30.0
21,21,12,3,591,12,86,60.89
12,12,11,5,1011,8,106,36.22
16,16,15,1,922,9,119,66.18
18,18,12,4,1187,6,131,39.28
12,12,6,9,350,9,100,30.0
16,16,12,4,645,15,223,71.01
24,24,18,8,300,23,114,94.69
17,17,16,4,436,11,239,68.49
23,23,20,8,1102,21,84,70.18
19,19,19,2,481,8,239,71.46
8,8,8,7,460,2,88,30.04
20,20,14,0,1148,10,236,74.67
22,22,16,5,775,9,108,55.2
21,21,20,7,1022,18,232,71.97
18,18,16,2,317,2,137,68.83
24,24,23,0,413,7,238,100.0
6,6,3,7,354,4,91,30.0
4,4,2,6,354,3,194,30.0
10,10,5,8,1058,4,275,30.0
10,10,10,8,538,6,126,30.0
21,21,10,7,717,4,155,30.0
16,16,11,3,464,7,272,56.03
16,16,14,1,306,11,66,87.32
18,18,11,3,584,3,188,47.65
17,17,12,3,822,11,189,57.91
22,22,15,4,555,10,285,67.42
23,23,22,2,799,23,167,100.0
19,19,10,2,508,15,68,71.69
10,10,6,8,658,10,81,30.0
7,7,5,5,445,6,101,30.0
6,6,3,5,333,2,224,30.0
23,23,20,5,326,7,278,79.84
10,10,6,8,1120,8,197,30.0
16,16,9,5,662,2,110,31.79
23,23,14,2,1093,22,70,81.52
19,19,19,6,1043,4,113,43.38
4,4,4,7,1057,3,128,30.0
17,17,11,2,1038,5,294,43.62
19,19,19,1,500,3,132,79.9
13,13,13,9,324,8,94,40.85
5,5,3,4,407,5,238,30.0
21,21,14,0,316,11,116,79.83
19,19,16,2,1075,18,274,88.69
10,10,5,1,388,10,168,60.08
17,17,17,6,700,8,85,63.09
16,16,12,6,436,4,235,41.95
10,10,6,6,776,3,282,30.0
20,20,20,9,914,18,73,71.87
5,5,5,1,430,2,230,42.68
14,14,13,7,796,5,152,30.61
24,24,20,1,460,17,296,100.0
5,5,3,1,713,4,72,31.67
15,15,8,2,1190,8,105,44.32
23,23,22,8,571,13,298,75.16
12,12,11,8,658,5,192,30.0
20,20,13,1,592,17,252,85.66
23,23,19,0,1188,5,199,76.06
9,9,9,7,310,7,136,30.0
4,4,2,6,863,4,131,30.0
23,23,13,9,406,3,116,33.34
11,11,5,9,558,9,65,30.0
19,19,17,2,319,18,120,100.0
12,12,8,1,1149,2,275,30.58
15,15,14,8,628,5,201,42.17
7,7,4,8,622,4,279,30.0
4,4,3,8,762,2,64,30.0
13,13,8,1,423,7,131,54.36
20,20,15,4,615,17,264,81.21
7,7,7,0,413,6,283,59.28
5,5,5,7,1165,5,150,30.0
15,15,7,5,515,4,139,33.36
18,18,17,8,992,11,159,53.27
8,8,7,6,432,4,104,30.0
13,13,10,6,381,5,61,39.11
16,16,14,1,523,14,105,88.8
10,10,6,7,664,4,299,30.0
8,8,6,6,885,2,283,30.0
17,17,12,5,495,5,155,51.64
6,6,4,3,1030,2,71,30.0
3,3,2,9,419,2,269,30.0
20,20,13,2,680,13,66,79.08
13,13,7,6,837,3,233,30.0
4,4,2,3,398,2,292,30.0
13,13,9,1,986,5,81,40.77
13,13,8,2,1148,13,243,52.29
18,18,13,3,1073,6,190,47.04
3,3,2,5,826,3,248,30.0
14,14,8,7,359,10,204,37.38
23,23,18,1,498,4,152,79.02
16,16,16,6,572,15,295,76.11
22,22,14,8,977,17,247,55.1
23,23,12,7,883,12,123,40.93
15,15,7,7,1088,3,281,30.0
8,8,6,8,1100,5,161,30.0
11,11,7,5,990,9,100,30.0
24,24,23,3,972,11,227,83.77
20,20,10,1,524,2,292,48.17
22,22,20,5,402,3,225,67.53
9,9,5,9,442,3,165,30.0
8,8,4,5,372,8,282,35.18
11,11,6,7,1139,3,151,30.0
9,9,6,3,507,5,193,41.31
24,24,21,2,426,10,247,94.63
24,24,23,6,823,14,84,87.56
15,15,9,9,446,8,297,30.0
23,23,17,2,1111,19,257,86.13
20,20,12,5,848,10,118,43.4
5,5,2,5,506,2,194,30.0
14,14,7,4,458,11,248,49.76
14,14,12,3,451,3,236,56.14
21,21,18,3,549,3,287,58.86
21,21,19,5,936,13,190,71.42
15,15,8,7,320,2,158,30.0
12,12,9,1,674,6,128,58.46
8,8,8,8,617,7,119,31.71
9,9,4,3,429,8,129,30.0
19,19,19,8,327,3,222,47.99
10,10,8,7,975,8,106,30.0
13,13,7,2,929,11,152,51.4
3,3,1,3,1075,2,263,30.0
3,3,1,5,583,2,166,30.0
7,7,3,0,931,5,115,36.49
17,17,13,3,1181,15,189,61.77
3,3,3,2,497,2,118,30.0
7,7,3,0,990,7,71,33.9
9,9,6,1,727,7,143,45.72
15,15,10,1,1045,13,178,59.13
10,10,9,5,816,7,234,32.54
4,4,2,6,418,3,230,30.0
19,19,18,7,602,9,172,71.98
14,14,9,7,644,5,92,30.0
16,16,12,4,660,11,249,59.51
4,4,3,5,874,2,220,30.0
11,11,9,8,623,3,184,30.0
8,8,7,5,318,7,285,42.25
21,21,20,0,643,8,148,96.32
23,23,11,9,1010,16,208,43.17
3,3,1,0,590,3,161,30.0
13,13,8,7,921,11,253,30.0
10,10,6,5,928,10,71,30.0
7,7,4,4,599,5,74,30.0
16,16,9,4,706,12,139,39.95
17,17,12,8,1103,12,110,32.17
6,6,6,4,863,4,216,30.0
17,17,10,7,443,11,223,41.56
15,15,10,9,644,15,262,48.91
9,9,7,9,338,6,218,30.0
12,12,10,9,335,5,255,30.0
24,24,18,5,684,13,179,71.31
15,15,13,5,417,6,273,53.0
11,11,6,8,1082,11,275,30.0
10,10,5,9,1158,6,127,30.0
20,20,17,2,911,8,261,73.71
12,12,6,6,541,6,234,30.0
19,19,11,1,972,18,209,75.78
9,9,6,9,889,6,244,30.0
4,4,4,6,896,3,126,30.0
11,11,5,6,579,4,127,30.0
8,8,5,6,920,7,95,30.0
8,8,4,6,1007,6,108,30.0
4,4,2,4,1075,3,259,30.0
5,5,3,5,429,4,231,30.0
4,4,3,0,1102,3,274,30.0
14,14,8,3,752,14,280,54.68
17,17,16,6,507,11,249,72.11
14,14,7,7,814,14,82,33.22
21,21,17,5,816,21,163,82.91
23,23,14,5,705,19,259,79.85
9,9,4,4,1083,5,97,30.0
15,15,8,8,640,3,278,30.0
11,11,5,2,479,8,213,45.36
5,5,3,5,615,2,293,30.0
14,14,13,0,341,7,141,83.56
12,12,11,5,366,8,239,57.1
16,16,16,4,974,3,150,43.34
22,22,12,9,836,3,84,30.0
24,24,12,3,394,15,124,83.07
22,22,13,2,324,14,176,85.31
4,4,2,1,836,4,127,30.0
16,16,11,1,1127,16,193,63.61
13,13,11,1,359,8,270,73.54
4,4,3,8,941,3,70,30.0
20,20,17,8,382,10,158,57.51
18,18,9,3,1071,8,99,36.78
19,19,13,6,679,5,183,43.77
7,7,6,2,818,4,151,35.29
24,24,18,4,897,6,242,59.18
24,24,17,4,949,24,117,81.06
9,9,8,0,312,6,277,54.79
13,13,12,4,607,8,176,53.71
6,6,4,3,923,5,141,30.0
22,22,16,9,320,11,200,55.38
19,19,17,0,419,10,228,89.59
3,3,2,1,1125,3,247,30.0
10,10,9,6,1101,9,246,30.0
19,19,15,7,472,6,219,48.18
14,14,7,6,400,9,136,42.47
5,5,5,0,944,5,80,39.0
10,10,6,3,950,5,202,30.0
7,7,4,5,922,5,140,30.0
10,10,5,8,762,3,254,30.0
16,16,16,8,516,11,178,53.05
20,20,19,4,975,13,150,77.79
23,23,22,1,822,11,74,98.9
19,19,16,1,482,10,212,88.66
20,20,15,3,713,13,91,64.09
21,21,10,7,421,8,71,38.74
15,15,11,7,601,9,297,42.39
9,9,7,5,961,4,148,30.0
17,17,11,1,906,16,210,72.45
14,14,11,5,982,6,248,38.66
24,24,14,6,712,8,167,56.94
17,17,16,4,410,9,165,78.43
14,14,11,2,748,5,163,51.28
5,5,5,9,1165,4,276,30.0
9,9,6,1,411,6,196,49.75
22,22,14,5,533,13,268,71.21
18,18,11,6,369,6,245,49.23
6,6,5,3,319,3,83,30.33
8,8,8,5,1170,6,261,30.0
8,8,7,8,319,2,178,30.0
5,5,5,4,635,3,114,30.0
22,22,14,7,1065,3,217,30.0
21,21,10,2,705,14,135,70.04
8,8,8,3,1003,4,235,30.0
19,19,15,0,445,18,279,100.0
17,17,16,5,1112,2,204,39.44
17,17,13,6,436,11,203,69.63
7,7,3,3,872,3,109,30.0
24,24,24,5,1148,14,110,82.76
23,23,13,9,846,15,213,48.65
12,12,10,3,881,11,63,49.72
9,9,5,2,940,9,116,33.88
22,22,18,8,847,22,217,77.33
14,14,8,5,519,8,222,44.05
12,12,11,9,1028,7,103,30.0
11,11,9,3,995,5,141,30.0
9,9,9,1,971,9,262,56.0
22,22,18,6,725,13,179,75.92
23,23,12,4,430,6,275,48.8
19,19,11,2,1156,13,248,54.21
9,9,9,6,588,2,211,30.0
4,4,3,8,722,3,236,30.0
8,8,5,0,1141,6,64,34.61
4,4,3,8,365,3,157,30.0
9,9,9,7,593,5,118,32.74
12,12,8,2,1130,2,251,31.61
6,6,4,3,513,6,138,30.0
24,24,15,8,979,18,250,54.98
5,5,5,0,853,5,286,38.51
8,8,7,6,900,4,237,30.0
13,13,13,9,307,9,279,40.47
11,11,8,4,896,9,114,32.37
16,16,15,1,853,13,271,82.62
8,8,7,1,1074,4,168,32.19
10,10,10,0,519,2,67,56.04
7,7,6,4,559,7,257,36.52
18,18,9,6,832,14,221,41.65
6,6,6,5,805,4,187,30.0
3,3,1,3,965,3,192,30.0
5,5,2,8,671,3,237,30.0
13,13,7,8,1024,9,285,30.0
24,24,14,9,576,2,272,32.77
21,21,11,9,374,17,187,52.68
24,24,12,4,919,12,153,55.81
22,22,12,1,782,9,215,65.04
17,17,14,5,500,5,183,50.88
17,17,13,4,526,10,176,59.51
23,23,14,3,759,18,98,82.23
8,8,6,6,742,4,157,30.0
16,16,13,3,800,9,249,60.26
16,16,11,0,580,9,147,69.08
16,16,13,6,961,10,142,50.0
15,15,13,8,1062,13,178,44.24
21,21,13,7,736,5,227,30.0
16,16,12,2,633,15,100,77.98
6,6,5,3,1075,3,164,30.0
18,18,9,2,1078,15,109,51.07
23,23,15,4,603,21,160,84.3
11,11,9,8,623,4,268,30.0
4,4,2,7,600,4,234,30.0
21,21,19,3,904,9,80,74.37
21,21,15,3,804,20,191,82.86
6,6,4,2,1153,5,253,30.0
4,4,4,6,660,2,131,30.0
20,20,10,5,1029,9,270,38.39
12,12,6,8,392,2,158,30.0
15,15,10,7,988,14,248,34.04
8,8,4,0,489,4,207,38.67
23,23,15,0,1003,11,166,73.18
24,24,20,8,643,6,108,52.71
21,21,20,6,482,10,98,77.7
15,15,9,0,467,13,78,77.82
23,23,23,0,600,8,279,100.0
7,7,3,6,969,6,234,30.0
20,20,11,1,623,2,186,47.47
6,6,4,4,958,5,227,30.0
21,21,18,6,1069,10,261,59.0
4,4,4,9,509,4,177,30.0
23,23,12,5,686,17,153,60.91
10,10,6,0,567,4,294,58.05
7,7,7,0,426,2,82,44.05
8,8,7,4,737,4,205,30.0
11,11,9,5,933,3,91,30.0
5,5,4,8,362,4,163,30.0
3,3,3,1,739,3,224,30.0
9,9,7,4,867,2,252,30.0
12,12,9,1,718,12,298,64.79
13,13,6,0,1105,6,195,31.73
14,14,12,0,330,5,172,66.44
15,15,8,4,675,9,246,36.93
16,16,13,9,862,3,65,30.0
17,17,12,9,784,11,184,30.0
5,5,4,5,1007,3,260,30.0
19,19,19,3,408,17,81,94.87
19,19,10,5,1120,4,101,30.0
4,4,2,2,1061,2,144,30.0
14,14,9,6,1135,4,188,30.0
5,5,2,1,438,5,238,36.79
20,20,17,5,1060,20,224,84.08
9,9,8,7,583,6,204,30.0
23,23,12,5,984,16,199,59.68
24,24,16,5,694,8,279,60.93
11,11,10,9,823,7,76,30.0
21,21,12,9,603,13,295,43.68
6,6,4,0,515,4,262,47.91
21,21,11,0,990,15,278,79.17
17,17,11,6,664,4,107,32.04
11,11,8,0,636,2,284,44.6
15,15,13,1,779,7,152,68.44
24,24,22,2,865,11,101,99.83
14,14,8,8,963,4,243,30.0
17,17,10,2,669,9,85,53.94
9,9,6,0,591,2,96,44.46
3,3,3,4,440,3,195,30.0
3,3,3,1,1002,3,82,30.0
11,11,6,3,713,7,134,31.78
15,15,8,2,422,7,75,50.02
4,4,2,6,461,3,183,30.0
4,4,3,7,410,4,93,30.0
9,9,6,7,514,7,179,30.0
9,9,8,6,620,2,292,30.0
23,23,23,4,702,22,78,100.0
19,19,15,6,843,11,69,57.82
6,6,6,5,863,5,219,30.0
16,16,11,4,707,16,81,73.86
6,6,3,6,1075,3,71,30.0
20,20,17,1,938,12,164,82.1
14,14,7,8,540,11,152,30.0
20,20,17,8,689,6,231,48.0
13,13,6,0,918,4,196,35.26
6,6,4,2,440,4,236,37.57
8,8,7,2,720,2,245,32.99
12,12,12,6,1024,6,294,30.75
15,15,11,0,835,13,70,72.74
11,11,9,3,1022,6,101,37.55
19,19,13,5,603,8,87,52.57
18,18,10,2,535,10,183,66.86
9,9,4,1,1040,6,159,30.0
11,11,10,5,399,8,232,50.43
15,15,8,8,1027,9,66,30.0
8,8,7,4,839,7,241,30.0
3,3,1,2,824,2,108,30.0
14,14,13,4,885,14,224,58.29
8,8,5,5,1148,5,201,30.0
17,17,13,0,1079,7,175,48.23
13,13,6,3,677,13,149,42.56
18,18,9,7,903,13,86,42.51
24,24,16,9,998,16,281,48.41
9,9,8,8,332,8,245,30.0
9,9,7,8,937,5,75,30.0
15,15,13,3,922,4,260,50.49
13,13,13,0,1028,9,259,64.08
10,10,7,8,456,3,285,30.0
15,15,13,9,815,11,163,38.8
17,17,13,8,828,12,149,45.59
14,14,13,9,740,11,84,42.17
13,13,10,4,755,9,127,53.96
17,17,8,0,986,5,161,42.97
17,17,16,1,1093,2,173,46.96
7,7,6,3,660,4,113,30.0
4,4,4,9,576,3,256,30.0
8,8,5,9,601,6,282,30.0
13,13,9,0,1020,12,136,59.27
20,20,20,5,980,17,127,76.41
20,20,12,6,610,7,177,46.11
20,20,19,5,559,13,174,77.71
19,19,19,4,1147,3,221,60.64
10,10,9,9,307,5,298,30.0
19,19,19,3,899,19,145,87.29
24,24,23,8,720,11,95,77.69
12,12,12,4,1027,11,163,50.42
4,4,4,7,902,3,160,30.0
14,14,11,9,1039,10,241,30.0
4,4,4,0,971,2,152,37.86
22,22,15,2,910,18,162,83.26
16,16,8,1,984,5,152,30.47
6,6,3,1,1068,3,213,30.0
15,15,10,3,1154,11,118,44.88
6,6,3,7,960,4,135,30.0
21,21,12,6,602,8,213,45.01
6,6,5,9,383,3,175,30.0
15,15,14,8,667,4,171,32.83
6,6,4,2,720,2,254,30.0
17,17,15,7,488,5,285,43.98
6,6,5,1,732,6,175,44.43
15,15,11,4,1129,10,116,41.17
8,8,8,8,949,8,162,30.0
8,8,8,3,814,4,145,37.12
17,17,16,4,642,11,109,65.42
7,7,3,2,505,2,185,30.0
24,24,16,5,960,9,75,54.48
12,12,7,1,1066,10,268,48.93
22,22,19,4,1168,7,124,54.12
21,21,13,0,788,3,163,57.87
9,9,8,8,892,3,228,30.0
11,11,9,5,561,5,111,39.47
15,15,13,0,1148,4,277,59.75
17,17,11,3,668,4,102,38.05
21,21,15,8,467,20,252,71.87
7,7,5,5,824,7,286,30.0
6,6,6,6,813,4,116,30.0
7,7,5,1,1083,4,238,30.0
23,23,21,4,582,13,204,88.16
8,8,4,4,868,5,137,30.0
3,3,2,1,1179,2,78,30.0
24,24,16,1,858,8,255,70.05
21,21,15,7,703,19,122,72.64
12,12,6,8,691,11,121,30.0
8,8,5,4,711,7,228,30.0
7,7,4,9,767,2,236,30.0
5,5,3,1,644,4,267,30.0
4,4,3,5,321,3,230,30.0
17,17,13,3,852,7,207,55.68
14,14,9,3,782,3,217,42.23
8,8,6,9,372,2,155,30.0
18,18,14,8,742,5,118,40.25
3,3,3,9,565,2,138,30.0
24,24,14,4,1190,23,159,83.44
3,3,1,3,306,2,196,30.0
6,6,5,0,949,5,132,34.09
8,8,4,9,669,4,113,30.0
20,20,12,3,806,16,74,70.15
21,21,17,0,342,10,229,100.0
20,20,13,7,338,18,210,69.87
16,16,12,1,595,12,120,72.89
20,20,12,9,460,12,75,46.84
21,21,13,7,985,4,261,31.56
8,8,4,6,1187,4,297,30.0
19,19,17,5,918,8,172,54.88
3,3,2,4,948,3,115,30.0
13,13,8,5,979,5,173,31.23
13,13,10,1,1165,7,198,40.24
24,24,18,5,387,5,279,68.4
17,17,8,6,302,15,225,47.68
8,8,8,4,1013,5,80,31.81
20,20,16,2,920,16,143,90.4
3,3,3,7,1045,2,212,30.0
23,23,23,9,351,14,114,87.06
7,7,6,9,476,3,117,30.0
9,9,4,0,512,6,196,45.3
7,7,4,6,764,5,274,30.0
18,18,11,8,1194,10,88,30.0
16,16,11,6,344,2,163,30.79
23,23,12,4,945,13,77,58.97
19,19,19,9,798,15,181,55.85
12,12,12,2,973,10,293,51.45
17,17,13,2,417,16,185,87.66
10,10,7,8,474,2,249,30.0
10,10,6,0,653,4,200,46.9
24,24,12,1,392,17,298,89.42
9,9,5,0,370,6,128,45.02
19,19,11,6,613,18,162,61.24
19,19,19,8,550,4,266,51.75
23,23,21,9,679,17,84,82.0
3,3,1,8,897,3,228,30.0
21,21,21,2,929,10,258,79.82
4,4,2,2,438,2,233,30.0
10,10,6,2,683,3,283,32.21
17,17,16,7,591,16,279,67.24
22,22,19,0,984,19,125,100.0
22,22,21,9,1032,4,142,44.4
5,5,3,7,358,4,121,30.0
13,13,7,1,361,2,196,36.79
4,4,2,7,1018,2,223,30.0
7,7,7,6,779,3,268,30.0
5,5,2,2,1003,5,88,30.0
8,8,8,9,700,8,282,30.0
5,5,2,9,1103,3,288,30.0
14,14,8,5,827,9,163,36.74
10,10,9,1,905,2,277,34.36
20,20,10,5,804,16,254,63.52
8,8,6,0,984,5,208,33.25
6,6,5,5,885,6,266,30.0
17,17,11,6,1186,7,275,30.58
14,14,7,7,1068,6,122,30.0
24,24,17,4,907,4,138,52.17
20,20,15,8,355,15,246,66.23
10,10,9,6,403,7,205,36.59
24,24,24,5,987,21,199,100.0
13,13,10,9,750,12,222,30.0
15,15,7,2,758,12,208,55.03
21,21,15,4,1102,7,218,54.07
6,6,6,6,506,4,245,30.0
5,5,4,4,1152,2,197,30.0
21,21,20,1,373,12,212,100.0
22,22,13,6,950,15,285,57.84
7,7,5,4,1079,3,191,30.0
24,24,12,9,767,7,212,31.93
20,20,20,6,993,19,179,84.17
13,13,10,4,642,10,118,56.22
12,12,11,2,1132,8,63,55.07
3,3,3,7,705,3,234,30.0
20,20,13,1,411,2,178,60.45
13,13,12,7,417,5,281,40.88
15,15,8,4,1041,3,95,30.0
24,24,21,7,1175,9,102,55.46
22,22,14,6,443,15,121,68.39
13,13,12,7,454,6,274,45.4
5,5,4,3,1104,3,268,30.0
17,17,14,8,563,16,154,58.52
9,9,8,6,567,2,76,30.0
12,12,11,2,793,12,157,62.26
8,8,5,3,1082,6,143,30.0
5,5,2,8,1107,5,99,30.0
12,12,12,0,719,5,160,55.53
24,24,15,1,465,24,81,100.0
16,16,12,5,565,9,187,51.95
16,16,15,2,411,13,249,83.98
12,12,6,6,405,6,243,33.08
4,4,2,5,388,3,174,30.0
11,11,8,9,1030,6,141,30.0
15,15,15,5,510,13,130,71.83
18,18,15,6,1007,9,200,47.55
15,15,7,0,528,7,270,54.91
16,16,13,3,850,9,84,66.64
15,15,12,5,419,13,112,59.08
15,15,12,1,1019,7,155,52.04
8,8,4,5,505,4,197,30.0
19,19,19,4,1001,10,90,69.83
23,23,20,3,786,23,191,100.0
15,15,7,5,780,2,202,30.0
15,15,7,7,357,9,278,30.58
15,15,13,4,796,13,276,59.42
18,18,15,1,1057,18,89,91.72
15,15,11,4,923,8,140,42.71
10,10,7,3,442,10,239,52.7
22,22,11,8,607,10,241,58.49
17,17,8,2,1142,3,267,30.0
10,10,7,0,406,9,101,62.53
21,21,20,6,982,18,284,86.13
23,23,18,6,867,7,145,51.07
20,20,15,4,792,20,113,81.93
21,21,20,7,1116,20,253,77.34
10,10,7,6,967,2,65,30.0
4,4,3,6,592,4,127,30.0
24,24,21,0,598,5,117,100.0
19,19,17,3,546,15,142,85.66
5,5,3,7,995,4,87,30.0
10,10,5,7,771,3,191,30.0
8,8,7,8,666,5,90,30.0
24,24,21,8,581,21,251,76.42
10,10,6,2,1134,9,64,34.34
11,11,9,9,986,3,274,30.0
20,20,13,6,431,17,242,69.66
4,4,3,2,677,2,276,30.0
22,22,11,3,1025,22,249,69.35
17,17,17,9,1177,5,266,31.27
16,16,16,4,1188,11,192,58.18
14,14,13,6,390,3,208,42.55
5,5,3,7,962,5,254,30.0
22,22,11,7,802,12,120,32.71
7,7,4,4,610,6,115,30.0
7,7,3,1,748,5,110,30.0
13,13,9,6,901,12,259,40.65
24,24,23,9,905,10,162,64.12
23,23,18,1,546,21,148,100.0
10,10,9,0,1132,10,250,63.8
12,12,11,9,704,2,81,30.0
10,10,10,0,828,7,149,55.8
15,15,7,5,1148,15,232,35.78
17,17,15,5,808,12,72,65.6
19,19,13,7,974,7,256,36.47
4,4,3,4,831,3,257,30.0
20,20,11,3,1084,15,265,58.65
17,17,10,2,636,4,206,43.75
22,22,14,2,421,17,103,91.71
19,19,15,1,364,4,91,77.71
6,6,3,5,1125,6,171,30.0
10,10,7,3,728,3,90,30.0
5,5,3,7,1091,4,230,30.0
4,4,4,7,1175,4,162,30.0
12,12,10,8,1097,11,289,38.01
9,9,7,1,470,7,232,53.35
7,7,4,3,392,7,91,30.0
11,11,9,9,511,7,171,30.0
5,5,3,0,395,5,250,48.64
7,7,5,5,492,5,209,30.0
18,18,15,9,814,10,119,41.83
20,20,10,8,1140,11,142,30.0
17,17,12,3,555,8,89,56.63
18,18,17,9,1017,11,297,48.36
11,11,5,2,415,3,69,32.83
4,4,2,9,353,4,134,30.0
18,18,9,2,829,4,246,39.51
14,14,9,9,375,13,136,39.66
6,6,5,5,941,3,118,30.0
10,10,10,7,1191,2,122,30.0
19,19,16,3,819,6,149,61.07
17,17,12,6,699,15,261,53.54
9,9,8,3,423,6,96,44.93
17,17,11,2,760,11,80,70.64
7,7,5,6,584,5,84,30.0
24,24,13,4,1167,14,78,50.93
4,4,2,5,520,3,239,30.0
9,9,6,2,849,7,175,40.07
17,17,16,3,308,17,191,96.18
24,24,21,3,599,3,136,85.43
12,12,6,9,906,8,127,30.0
