reaction_time_avg,reaction_time_variance,correct_hits,wrong_hits,missed_targets,accuracy,session_duration,cognitive_score
526,127,53,14,16,73,61,43.7
313,52,76,5,11,85,82,82.14
843,241,54,12,29,42,87,30.0
822,74,46,15,26,46,72,30.0
408,160,51,9,8,76,93,60.91
412,218,66,5,14,86,65,61.63
458,170,62,10,14,72,112,51.9
747,53,59,16,30,45,121,30.0
330,201,60,4,3,87,65,69.67
474,162,59,10,15,63,110,44.63
425,203,33,9,15,78,78,56.61
569,50,55,21,29,56,73,30.0
808,59,34,15,32,40,82,30.0
529,133,30,12,11,72,122,50.08
337,118,73,5,5,81,109,71.01
686,84,30,21,17,41,99,30.0
359,214,34,5,9,88,85,69.64
288,195,69,1,0,97,98,86.16
396,202,46,9,5,81,125,62.88
503,228,35,7,16,67,65,49.92
314,204,65,7,5,89,88,66.5
646,245,51,20,15,44,125,30.0
437,229,44,8,17,72,88,50.02
556,204,60,8,11,74,95,38.84
410,183,37,12,15,69,82,48.0
445,239,47,14,17,70,119,38.37
332,176,71,4,7,92,90,73.42
350,90,51,8,12,87,70,58.25
309,112,69,0,0,88,74,77.92
452,106,55,14,13,68,100,42.75
237,211,56,1,2,86,76,74.51
407,201,54,5,10,85,111,66.67
462,205,79,10,19,70,108,42.71
633,167,51,10,34,48,122,30.0
440,172,48,9,7,88,121,62.29
428,67,30,12,12,76,106,63.15
565,57,58,8,10,78,114,58.9
231,159,63,1,2,94,114,85.98
364,236,37,9,7,83,113,58.94
466,211,64,5,17,78,91,53.17
564,56,39,11,11,73,66,45.26
384,85,58,7,7,77,119,62.84
310,244,52,9,6,84,71,67.91
336,102,73,8,13,80,83,60.63
327,63,38,1,2,85,99,69.37
324,71,72,3,10,81,63,71.72
427,90,67,4,8,79,93,66.31
421,155,51,9,9,86,86,68.35
437,239,75,3,14,87,123,69.0
453,230,65,5,12,70,85,55.77
353,199,34,9,12,76,115,56.23
435,130,74,8,12,74,85,41.85
528,74,68,12,19,70,94,37.05
407,147,41,5,10,86,78,68.08
216,96,41,0,6,94,121,79.63
282,167,45,4,0,92,129,85.87
575,248,46,19,30,54,82,30.0
385,56,38,9,9,84,107,60.07
415,236,71,5,6,81,76,57.83
407,180,66,7,6,86,102,70.43
564,142,51,10,18,63,84,31.03
315,104,64,4,6,87,101,69.16
322,239,78,3,4,91,121,68.97
584,59,59,12,18,75,84,40.53
302,207,79,8,12,87,127,55.17
336,122,44,3,9,83,108,62.43
236,173,35,4,2,97,98,81.32
245,126,63,2,5,92,84,78.86
492,106,55,14,11,78,100,48.27
808,54,76,15,19,63,108,31.71
522,131,46,7,11,69,62,49.25
312,122,33,7,13,82,73,62.03
522,125,71,7,18,68,68,47.83
424,173,44,6,17,64,97,50.82
597,163,69,9,10,64,104,35.1
492,105,69,14,12,78,99,39.2
346,108,77,3,0,92,100,78.91
444,237,36,8,15,69,64,45.85
381,243,61,4,11,78,72,56.38
412,147,53,3,12,83,94,59.65
782,86,58,24,29,41,81,30.0
295,241,46,1,3,88,71,77.41
519,229,41,6,13,77,66,47.05
582,209,40,24,29,45,117,30.0
588,165,61,16,25,54,61,30.0
383,130,73,5,7,80,115,66.4
586,234,34,10,12,79,62,45.5
457,113,78,6,12,65,84,50.76
426,142,37,13,10,67,86,55.7
430,73,32,6,9,87,79,61.95
822,58,67,13,18,51,107,30.0
462,188,42,12,17,61,80,37.93
494,151,70,13,10,65,67,39.26
387,95,61,3,13,83,113,69.77
396,207,62,3,5,76,85,67.49
593,223,79,11,19,65,74,31.28
672,122,68,18,20,45,91,30.0
407,111,76,6,13,67,66,54.41
321,176,70,9,7,84,119,75.33
311,94,48,6,13,81,114,71.31
252,131,35,2,3,91,77,78.68
336,205,39,3,7,82,94,65.84
534,208,53,5,14,71,79,39.84
407,99,78,6,12,88,110,54.44
365,55,68,4,8,89,101,78.66
324,67,69,2,4,96,80,74.87
386,168,66,6,6,84,128,66.88
590,63,68,21,29,61,61,30.0
427,54,30,7,14,61,99,42.28
344,244,43,9,14,81,69,54.17
407,113,49,5,18,70,87,52.47
724,98,78,21,19,44,103,30.0
447,86,49,8,6,76,85,55.64
668,108,34,15,19,42,92,30.0
730,175,63,17,25,57,109,30.0
238,200,73,2,1,99,97,91.14
518,178,37,6,14,67,88,39.8
404,242,55,10,11,74,102,53.05
435,138,75,3,12,89,127,73.47
446,97,34,8,9,89,121,66.23
376,147,67,3,8,89,63,67.54
381,132,74,3,11,87,60,66.35
692,192,50,21,21,40,78,30.0
560,221,67,5,12,76,70,57.51
308,121,77,7,14,77,125,64.85
516,97,66,9,11,71,103,34.72
445,156,45,9,16,77,106,47.68
830,64,33,20,33,43,80,30.0
601,205,64,20,29,53,67,30.0
563,126,33,6,10,77,66,45.3
470,233,65,14,19,76,127,46.06
721,96,42,22,24,63,81,30.0
408,171,71,14,17,74,83,46.8
553,201,48,8,11,64,119,47.29
368,157,63,3,7,89,92,72.65
549,248,61,9,12,75,70,43.76
301,195,32,9,9,77,101,54.9
566,73,75,5,16,68,78,34.35
308,146,65,3,7,98,62,82.53
496,245,42,13,16,65,108,41.47
709,249,79,17,20,60,126,30.0
524,179,52,10,15,62,103,42.27
329,85,34,8,14,78,90,68.28
354,104,45,8,13,84,71,67.47
443,141,69,7,11,88,64,54.28
407,133,35,3,9,75,81,60.61
821,191,65,15,34,51,82,30.0
465,242,40,9,11,68,126,42.33
354,220,44,5,10,80,119,52.04
211,215,47,0,1,99,104,92.95
333,122,44,3,5,87,80,70.3
679,69,47,11,28,42,69,30.0
294,129,75,0,5,98,111,82.29
568,185,50,13,14,65,127,39.14
540,109,35,8,11,73,91,47.57
529,211,39,7,14,78,61,57.45
382,122,57,5,9,83,121,63.0
406,53,68,5,13,75,99,58.08
451,227,66,10,16,63,122,48.3
406,135,34,11,14,73,114,47.22
628,182,30,19,21,60,72,30.0
791,222,61,14,32,52,95,30.0
448,75,33,9,9,78,93,51.09
481,229,58,7,18,67,97,46.22
741,218,30,17,23,56,61,30.0
428,107,69,14,11,60,80,42.11
599,137,74,5,16,76,128,51.51
386,136,72,7,12,79,60,54.09
538,77,72,7,16,79,117,54.59
557,161,57,15,29,49,67,30.0
577,175,33,5,13,62,100,47.41
318,198,65,1,1,98,71,76.75
559,64,46,6,19,75,99,43.61
358,163,51,6,14,88,89,64.55
512,88,78,14,16,62,71,38.56
217,198,37,4,5,89,105,82.29
385,71,57,5,13,80,88,63.12
301,76,79,7,8,87,82,71.22
588,240,48,12,12,60,82,38.62
338,177,66,9,13,86,67,60.75
404,153,64,5,13,62,123,49.4
309,204,31,8,11,79,100,65.28
489,211,49,5,18,71,75,35.68
619,235,33,12,19,63,63,33.7
336,152,50,7,10,80,97,63.99
737,66,36,22,34,64,63,30.0
735,169,53,13,18,62,93,30.0
446,98,75,6,7,89,81,69.14
316,68,77,3,7,99,104,81.64
732,195,78,16,15,56,106,30.0
346,96,43,9,10,85,68,72.17
268,187,79,3,4,93,62,75.96
508,219,64,9,12,78,105,53.96
468,198,39,8,10,64,123,41.44
780,178,53,11,17,46,116,30.0
846,237,60,23,26,61,83,30.0
505,63,39,7,16,66,75,43.16
405,93,38,7,10,83,104,65.62
577,176,44,11,15,60,91,44.62
447,198,71,9,11,82,85,47.94
357,180,52,4,9,79,96,60.8
446,177,41,3,9,77,120,55.03
232,147,57,4,4,85,117,71.65
566,247,75,5,11,76,129,48.42
571,123,63,18,16,55,75,32.5
524,217,67,10,17,66,119,39.96
348,203,33,7,8,81,74,63.29
478,107,57,13,17,79,85,55.44
593,55,68,19,34,40,111,30.0
522,100,40,7,14,77,71,39.95
384,96,44,9,13,82,107,58.7
241,61,31,3,5,96,66,73.02
306,178,37,0,3,92,91,85.39
406,159,48,6,10,79,91,60.7
528,70,59,11,14,72,72,40.79
555,177,56,14,16,65,128,41.29
425,238,57,7,7,88,68,76.6
433,188,31,6,13,77,106,48.21
530,205,55,14,14,71,121,46.22
333,107,40,5,6,83,116,77.47
407,82,49,8,7,85,75,54.24
797,197,30,16,20,54,122,30.0
542,230,75,13,14,62,73,34.51
344,126,44,0,2,91,65,80.46
595,121,64,23,18,45,78,30.0
277,74,69,3,0,95,73,80.44
282,219,48,2,2,98,87,84.41
755,224,43,20,33,48,97,30.0
352,245,33,3,13,77,67,63.64
324,176,45,0,7,98,121,78.95
825,210,38,12,26,44,120,30.0
584,57,74,11,15,56,106,30.0
451,87,49,9,12,67,88,46.9
354,199,41,6,8,81,104,62.76
271,194,41,0,1,91,65,72.6
685,242,58,21,24,58,99,30.0
576,95,78,10,10,72,121,36.95
447,88,50,3,14,86,108,57.69
782,98,70,17,19,48,76,30.0
608,88,42,16,23,46,123,30.0
507,238,74,12,17,78,71,41.79
344,246,37,9,14,84,84,57.68
576,195,31,8,11,74,127,46.73
526,196,76,6,14,63,87,47.2
542,240,58,11,11,68,125,43.17
209,167,38,1,2,98,98,88.56
551,143,69,12,30,45,61,30.0
817,104,74,20,15,42,121,30.0
337,156,47,7,10,86,95,68.91
418,171,59,7,10,83,119,56.89
571,153,40,13,16,74,107,33.11
667,201,68,21,15,43,93,30.0
605,197,48,10,29,40,88,30.0
545,87,34,5,10,62,67,38.08
264,158,79,3,0,99,128,81.24
487,204,75,8,19,62,123,30.81
524,171,66,9,19,74,101,35.85
434,162,58,8,11,65,118,48.06
421,98,42,9,14,63,93,47.99
591,134,75,22,33,41,80,30.0
491,228,46,6,13,62,83,46.92
384,194,66,6,9,82,95,70.52
446,188,68,10,14,71,64,55.61
319,61,35,8,14,83,76,61.64
619,151,40,19,18,62,92,30.0
442,228,43,5,13,85,110,66.69
347,165,74,3,12,89,78,76.33
466,71,58,11,11,64,102,44.8
320,201,64,4,13,86,115,71.8
446,57,55,7,11,62,89,49.78
781,176,30,14,23,47,95,30.0
403,223,43,3,6,81,63,61.27
402,172,67,6,12,73,75,54.28
444,173,45,4,14,81,119,59.34
333,169,56,5,12,81,112,59.37
444,62,50,8,9,83,78,65.1
732,59,65,23,24,62,113,30.0
709,205,75,23,32,57,112,30.0
458,208,43,6,16,67,93,53.65
676,98,44,18,26,50,116,30.0
645,136,53,15,31,61,109,30.0
533,114,72,13,18,64,78,40.8
381,226,35,5,7,89,115,68.7
344,210,56,1,4,94,114,81.53
307,224,54,0,3,95,80,86.53
539,150,77,14,10,64,87,38.88
805,154,36,12,26,53,72,30.0
540,122,67,6,18,63,113,38.13
436,67,32,9,8,82,87,59.93
348,70,72,0,3,96,72,70.08
345,73,31,7,10,87,73,65.95
552,61,53,10,10,62,88,43.09
464,153,57,11,10,79,117,52.39
333,82,36,4,0,91,116,80.99
310,124,37,0,7,87,104,67.04
531,206,63,7,18,67,87,37.72
303,182,61,3,11,84,109,67.94
331,66,55,8,13,86,116,69.46
310,153,33,7,12,87,87,68.69
364,151,53,9,8,75,113,63.14
325,133,70,4,9,75,113,62.67
565,95,34,14,14,61,65,38.26
445,142,37,7,15,72,103,46.76
307,124,42,0,7,85,109,70.8
215,97,55,2,3,88,121,82.99
438,68,52,3,6,79,114,57.79
342,57,42,4,6,79,67,72.58
393,130,49,5,11,75,103,60.84
570,104,37,12,11,69,107,39.96
650,157,42,22,17,64,104,30.0
554,209,54,7,10,61,126,38.66
516,152,56,7,10,62,76,40.88
390,163,30,6,5,76,117,65.25
347,90,70,1,2,88,64,72.71
338,148,41,2,4,92,85,78.73
408,120,55,9,11,86,99,66.8
383,158,58,4,8,89,67,65.08
696,205,75,16,28,55,127,30.0
510,73,53,8,11,67,63,43.97
730,118,60,13,27,63,112,30.0
687,215,50,16,21,47,120,30.0
527,125,67,10,13,78,95,51.18
449,234,77,13,12,64,106,45.56
338,103,50,8,9,82,75,63.53
308,66,33,5,14,75,107,56.16
552,114,54,10,10,64,110,44.43
403,50,76,9,10,89,82,61.13
675,218,58,10,16,64,72,34.86
612,224,74,21,30,56,114,30.0
480,81,61,14,13,62,127,37.93
377,238,33,3,6,84,118,67.09
533,132,30,5,17,60,128,43.14
696,138,49,20,25,51,127,30.0
301,106,66,8,7,82,66,68.28
282,121,62,1,3,87,71,75.98
474,146,34,5,15,64,116,47.12
432,246,31,13,12,77,106,55.34
432,184,44,8,15,72,73,53.16
447,154,37,4,14,87,121,63.26
416,118,57,10,19,61,121,34.61
370,147,54,5,14,85,94,63.3
523,203,72,10,15,69,114,41.93
657,160,31,13,17,58,89,30.0
449,122,62,8,14,77,107,55.94
401,203,54,5,12,63,69,63.37
358,172,51,5,9,80,89,58.88
617,213,48,10,23,46,60,30.0
472,225,67,14,15,72,76,52.1
484,204,55,8,18,74,78,46.33
316,219,79,3,13,85,99,72.1
596,118,72,18,28,40,107,30.0
260,107,62,2,5,86,75,77.64
362,151,30,8,7,87,67,67.86
758,156,54,22,20,48,98,30.0
336,51,72,2,4,86,119,65.49
413,128,57,5,9,86,77,60.7
584,184,72,8,15,72,113,46.5
756,215,79,16,17,40,60,30.0
308,84,33,3,2,99,128,81.23
689,137,54,19,34,63,114,30.0
409,107,68,3,14,84,120,58.22
508,218,34,11,15,62,101,37.28
557,190,61,9,16,68,105,44.26
511,153,50,5,16,72,125,54.66
432,171,39,14,12,76,95,50.21
783,96,48,23,21,50,74,30.0
336,68,32,0,5,99,99,87.48
397,178,63,7,10,77,107,58.42
460,66,36,12,19,66,72,41.71
448,98,68,11,19,62,112,42.19
330,209,55,4,4,99,75,84.47
705,142,51,17,15,48,100,30.0
382,222,44,4,13,77,62,57.87
579,228,77,17,32,64,125,30.0
315,131,31,0,4,93,104,67.12
219,116,48,2,1,97,62,79.28
611,124,60,20,34,43,89,30.0
461,110,44,13,11,76,107,56.23
338,148,66,6,5,84,123,69.97
358,176,57,6,13,81,65,62.38
430,111,71,4,8,79,101,61.49
410,108,69,12,17,75,118,53.11
301,139,52,6,7,76,77,68.85
312,244,67,0,6,98,126,72.69
555,71,39,8,16,73,112,49.08
431,133,66,9,10,81,92,54.35
469,95,79,9,17,62,107,40.72
455,206,36,12,17,73,77,42.8
337,244,74,6,14,85,94,66.27
443,84,40,7,5,87,118,61.97
840,201,79,15,28,61,108,30.0
398,174,39,7,9,77,84,59.27
373,69,77,5,13,87,83,60.54
582,198,41,9,12,64,109,44.99
313,204,47,5,6,85,80,72.5
386,231,39,5,13,83,81,62.92
442,224,46,6,10,82,105,53.59
661,61,69,16,25,40,79,30.0
493,226,67,6,14,72,125,51.54
225,92,51,3,7,95,79,79.58
677,223,72,13,30,59,66,30.0
586,137,38,12,14,74,94,37.88
418,159,49,9,9,83,112,55.72
216,60,63,4,2,94,109,76.23
449,209,44,12,19,65,62,38.74
239,200,69,3,7,92,70,71.73
459,213,42,11,10,69,95,42.64
485,176,53,6,15,63,81,34.46
395,59,69,7,10,88,83,62.6
411,194,30,8,11,86,116,55.27
421,164,41,13,11,72,99,54.17
405,216,42,9,11,89,91,59.96
631,221,67,18,26,52,119,30.0
447,245,54,11,16,77,121,49.06
389,181,68,9,10,88,84,68.97
419,205,32,7,7,86,81,69.86
361,187,32,8,7,83,118,73.02
458,176,70,8,18,64,90,44.74
549,226,49,14,11,63,113,36.11
528,107,37,5,17,74,82,42.22
586,205,54,11,14,72,120,37.26
551,79,68,11,31,61,72,30.0
312,161,46,7,9,85,99,73.54
542,157,60,8,19,68,112,30.0
300,58,61,5,6,86,74,79.52
584,156,69,12,10,67,101,47.05
822,200,35,19,22,40,109,30.0
591,226,64,10,17,78,70,37.27
503,55,48,11,10,78,115,43.99
593,164,33,11,14,65,108,41.13
298,178,71,2,3,98,107,88.26
413,160,45,8,13,78,115,49.47
224,201,71,1,2,99,85,87.89
403,201,34,5,7,84,126,59.41
494,181,52,8,16,77,107,57.34
428,207,32,3,6,80,80,69.02
843,229,44,19,28,54,105,30.0
420,162,72,7,10,84,106,60.32
776,89,79,17,17,61,69,30.0
599,230,66,9,19,70,115,38.22
458,153,59,6,10,75,70,50.22
475,240,57,14,17,66,117,30.0
601,232,51,21,15,64,99,30.0
328,231,71,0,6,85,80,71.23
207,139,42,0,0,98,76,89.38
377,159,43,8,7,87,120,72.32
359,107,78,7,10,80,82,63.33
425,69,35,9,19,74,129,53.99
413,192,48,11,16,73,122,56.23
280,149,64,2,3,87,91,73.12
249,213,42,2,7,85,129,65.16
441,89,45,9,8,79,75,55.88
786,185,53,24,17,41,74,30.0
344,157,68,9,12,76,116,54.79
513,109,63,9,16,64,102,39.13
293,157,33,1,4,90,82,63.03
521,55,77,9,19,68,122,40.35
538,240,33,5,13,70,100,49.06
334,199,77,3,8,80,70,64.57
402,67,78,11,10,68,82,49.68
224,161,76,1,4,96,84,70.18
357,74,43,9,13,88,107,59.63
763,241,31,16,31,52,101,30.0
274,236,55,2,1,85,75,76.35
376,179,55,9,10,78,118,57.71
478,223,69,11,16,67,71,36.49
519,118,55,9,17,63,95,37.51
492,193,43,9,16,74,111,31.97
574,155,50,8,12,73,123,43.13
454,119,65,8,18,79,61,58.89
579,190,72,12,16,52,121,30.0
299,160,65,3,3,90,78,80.46
447,131,34,6,6,83,79,63.05
374,117,58,8,14,79,103,61.26
282,115,39,4,7,99,61,87.55
316,208,72,9,9,88,60,69.28
491,248,31,9,19,60,83,49.9
418,220,40,12,11,70,126,55.02
348,79,49,6,10,76,97,54.51
645,89,62,21,24,49,101,30.0
584,129,63,6,18,79,91,39.0
465,125,55,12,18,71,69,42.12
609,173,65,10,33,41,83,30.0
529,205,49,6,14,73,83,51.03
441,247,65,4,10,76,104,46.62
526,145,62,8,17,75,104,47.24
508,198,69,9,13,75,129,48.74
380,95,61,9,11,87,74,62.76
653,146,60,24,25,53,76,30.0
409,81,69,8,11,80,72,57.75
469,121,30,9,18,61,103,42.72
624,206,55,24,25,46,75,30.0
480,57,58,8,15,61,110,46.97
587,158,49,9,13,62,98,37.55
440,135,57,6,13,87,111,64.92
508,249,71,7,17,70,85,39.21
338,60,55,6,11,77,101,56.0
337,241,35,5,7,76,105,71.9
781,167,76,20,34,47,66,30.0
360,151,75,3,14,78,71,64.03
637,138,33,18,27,55,108,30.0
421,222,52,6,10,85,87,52.12
328,63,43,3,8,77,94,69.92
316,142,74,8,8,77,110,58.25
463,130,47,11,15,69,100,55.74
779,230,63,10,15,59,63,30.0
550,238,64,23,32,46,67,30.0
435,195,57,8,18,77,88,49.98
403,97,75,5,16,64,107,48.37
431,115,73,8,10,88,71,63.31
598,136,55,14,19,60,65,31.75
385,144,66,7,6,77,89,59.64
417,186,50,5,11,88,88,73.28
589,166,73,6,13,74,113,44.45
565,157,60,14,10,64,70,36.63
412,71,31,7,12,76,103,55.01
484,168,78,11,12,75,68,52.07
699,91,61,16,19,44,118,30.0
672,59,57,12,33,54,88,30.0
405,116,37,10,12,71,67,50.06
484,65,42,12,16,62,126,39.75
259,120,44,4,4,98,100,81.14
409,162,54,12,17,70,109,50.57
737,213,52,23,23,53,102,30.0
739,77,47,20,28,52,118,30.0
641,186,69,17,29,58,127,30.0
393,74,49,7,9,87,125,66.09
344,160,40,9,6,76,78,61.13
592,200,48,11,15,78,114,42.96
587,175,78,7,13,60,96,33.97
479,199,45,11,15,65,87,43.97
345,134,55,6,11,82,84,54.18
486,136,44,11,11,70,80,40.92
550,164,76,6,17,72,99,43.18
683,106,60,14,27,48,80,30.0
411,136,49,7,5,87,76,60.41
440,183,74,13,15,65,73,45.24
808,201,48,14,17,62,77,30.0
584,226,72,13,27,40,75,30.0
446,65,38,5,13,81,60,52.18
583,183,50,22,27,64,129,30.0
347,59,59,9,14,85,77,56.85
314,58,74,9,12,78,68,51.98
415,101,34,7,18,74,64,60.07
312,238,60,4,14,78,67,65.97
409,60,64,8,9,83,101,60.05
373,248,31,3,8,86,115,73.2
302,206,43,4,6,92,110,72.28
679,155,35,22,21,64,126,30.0
481,241,34,10,13,70,118,46.2
327,64,54,0,3,92,114,76.73
313,149,36,5,10,75,89,59.87
578,132,71,6,13,67,76,41.69
406,202,35,6,13,69,83,50.23
374,175,63,9,7,84,87,62.04
377,103,68,4,9,77,118,65.53
706,84,32,17,18,47,66,30.0
386,166,62,5,14,83,109,67.61
575,224,64,7,13,64,73,31.33
360,173,53,9,5,89,82,59.44
478,57,44,6,13,65,62,51.09
404,62,30,7,8,76,93,50.92
497,208,54,10,16,77,97,40.47
758,134,51,23,34,44,94,30.0
529,143,35,9,16,63,128,41.17
591,214,69,7,18,75,128,45.73
561,120,30,5,11,65,60,58.77
809,108,61,20,25,57,92,30.0
619,155,53,11,32,55,115,30.0
317,220,68,7,5,80,120,71.94
229,245,32,1,1,94,77,84.39
239,117,75,1,0,90,108,77.47
847,247,49,17,33,58,86,30.0
614,73,76,10,31,61,122,30.0
325,91,63,2,0,97,124,70.84
311,87,43,1,0,86,115,78.33
840,101,50,22,15,57,129,30.0
728,172,69,20,30,40,85,30.0
216,184,73,2,6,93,112,81.04
478,145,48,8,16,61,61,38.84
469,231,76,8,10,68,117,44.46
594,184,44,16,27,40,103,30.0
618,129,52,16,15,41,97,30.0
477,206,63,7,16,62,100,50.96
330,154,30,5,11,76,120,62.45
405,139,63,14,16,66,89,41.13
623,219,41,24,29,58,115,30.0
331,113,75,8,5,89,118,66.73
748,123,54,24,15,52,107,30.0
565,159,62,12,17,68,76,39.98
461,66,79,8,10,68,99,47.17
384,206,53,4,11,79,76,58.55
281,226,58,0,5,85,63,73.3
347,58,42,2,3,92,86,67.79
325,223,57,4,14,83,108,63.07
580,91,48,6,10,62,76,38.79
530,203,64,5,16,70,111,36.65
417,193,53,8,8,81,120,57.46
667,206,68,19,22,55,65,30.0
379,139,43,3,14,81,92,60.47
579,191,73,14,11,63,89,44.47
443,75,50,12,11,60,87,39.71
636,97,31,22,31,54,79,30.0
430,115,65,6,12,81,75,59.61
591,61,59,10,11,63,110,37.47
597,204,72,15,34,58,107,30.0
530,86,38,11,14,64,74,33.92
566,215,37,17,25,60,94,30.0
337,218,39,9,6,86,76,61.77
772,152,33,10,26,58,101,30.0
431,179,41,7,7,76,65,51.84
816,122,31,24,26,64,67,30.0
411,63,77,6,14,82,113,55.76
385,216,49,6,6,79,66,67.49
343,168,35,6,14,80,76,55.49
337,169,37,5,14,82,80,74.2
432,145,41,12,18,77,107,49.59
623,219,61,18,34,53,85,30.0
525,51,47,12,10,66,106,41.51
483,195,75,7,11,62,89,41.44
438,213,62,4,14,76,106,53.6
488,143,48,14,12,63,117,36.05
423,185,47,9,18,61,116,47.03
553,139,69,7,12,72,117,41.55
705,51,66,22,19,57,66,30.0
287,81,44,3,0,96,72,85.3
409,176,36,9,14,76,99,54.25
498,247,30,8,14,74,63,50.92
770,217,42,22,27,60,82,30.0
267,202,73,4,1,92,71,71.69
558,231,57,14,34,51,115,30.0
775,158,77,16,24,52,117,30.0
432,249,66,12,18,66,110,41.33
520,132,39,10,14,74,71,44.94
497,58,47,9,12,63,102,41.29
262,53,58,1,0,93,100,80.8
479,147,71,8,14,71,60,44.84
767,223,71,20,17,56,98,30.0
448,97,72,11,17,67,114,35.08
323,192,56,0,6,94,127,76.5
594,173,78,10,11,76,114,46.31
745,200,57,24,34,51,75,30.0
476,149,49,6,13,78,111,53.76
243,166,33,0,3,91,93,71.65
559,198,37,20,33,45,124,30.0
377,98,38,8,9,79,76,57.26
588,99,62,10,12,67,72,41.7
396,85,73,7,5,88,69,70.78
320,165,49,9,12,86,113,63.61
204,224,35,4,1,92,116,79.02
330,89,32,4,2,94,84,68.64
454,233,77,8,11,79,129,58.59
280,184,71,1,2,97,101,73.3
272,51,65,2,6,85,78,75.52
435,202,34,8,15,67,89,38.13
428,201,43,8,12,68,128,51.18
316,72,46,5,7,88,60,70.54
408,76,48,12,12,74,79,47.2
446,161,75,10,11,66,91,43.49
317,131,73,9,5,85,113,68.43
437,228,64,13,17,68,64,45.73
557,241,54,11,13,63,87,39.6
322,104,33,7,10,78,60,52.02
394,157,79,4,9,86,101,58.5
421,111,70,6,11,75,93,45.03
594,93,44,23,16,58,129,30.0
485,125,58,7,12,69,107,54.18
412,137,46,8,19,61,111,40.78
320,201,64,8,8,82,62,57.77
500,105,73,10,12,67,99,45.42
811,148,46,13,22,56,61,30.0
729,71,76,13,25,41,114,30.0
268,106,74,4,0,88,71,79.29
496,52,34,10,12,67,70,40.48
515,80,40,7,17,61,125,42.39
219,202,41,1,1,93,98,81.24
429,128,78,6,13,80,96,58.14
332,67,67,4,9,80,96,56.49
569,65,67,6,16,75,94,42.52
401,168,57,13,14,72,112,50.35
393,177,36,7,14,84,101,56.14
237,102,44,3,1,89,85,93.78
324,53,32,2,6,94,123,77.14
310,204,62,8,14,75,80,49.3
713,172,30,24,32,50,122,30.0
708,133,32,10,25,46,122,30.0
368,237,67,4,6,83,120,64.42
313,134,78,3,5,96,129,82.44
